Player-additional,Age,TS%,RPG,APG,PPG,BPG,SPG,Player,Pos,Pos_og,Year,All Star,MVP
monrogr01,31,0.5813999999999999,4.5600000000000005,1.5,5.220000000000001,0.6799999999999999,0.54,Greg Monroe,C,C,2022,False,N
moodymo01,19,0.573,1.5,0.4,4.4,0.2,0.1,Moses Moody,G,SG,2022,False,N
moonema01,24,0.0,0.0,0.0,0.0,0.0,1.0,Matt Mooney,G,SG,2022,False,N
moonxa01,27,0.545,1.4,2.4,5.8,0.3,0.7,Xavier Moon,G,SG,2022,False,N
moranja01,22,0.575,5.7,6.7,27.4,0.4,1.2,Ja Morant,G,PG,2022,True,N
morgaju01,24,0.5553333333333333,2.0,0.5,2.5,0.0,0.0,Juwan Morgan,F,PF,2022,False,N
morrija01,26,0.129,0.7,0.7,0.7,0.0,0.0,Jaylen Morris,G,SG,2022,False,N
morrima02,32,0.547,2.6,1.4,7.6,0.1,0.4,Markieff Morris,F,PF,2022,False,N
morrima03,32,0.549,4.4,2.1,15.4,0.3,0.5,Marcus Morris,F,PF,2022,False,N
morrimo01,26,0.583,3.0,4.4,12.6,0.2,0.7,Monte Morris,G,PG,2022,False,N
mudiaem01,25,0.399,0.0,2.0,1.5,0.0,0.5,Emmanuel Mudiay,G,PG,2022,False,N
muldemy01,27,0.49533333333333335,1.4333333333333333,0.5,4.933333333333334,0.2333333333333333,0.16666666666666666,Mychal Mulder,G,PG,2022,False,N
murkead01,24,0.0,0.0,0.0,0.0,0.0,0.0,Ade Murkey,G,SG,2022,False,N
murphtr02,21,0.558,2.4,0.6,5.4,0.1,0.4,Trey Murphy III,F,SF,2022,False,N
murrade01,25,0.533,8.3,9.2,21.1,0.3,2.0,Dejounte Murray,G,PG,2022,True,N
muscami01,30,0.63,3.0,0.5,8.0,0.6,0.4,Mike Muscala,C,C,2022,False,N
mykhasv01,24,0.509,1.6,0.8,4.6,0.1,0.5,Svi Mykhailiuk,F,SF,2022,False,N
naderab01,28,0.431,1.9,0.5,2.4,0.3,0.6,Abdel Nader,F,SF,2022,False,N
nancela02,29,0.5996666666666667,5.1000000000000005,1.5666666666666667,7.066666666666666,0.5333333333333333,0.8333333333333334,Larry Nance Jr.,FC,C-PF,2022,False,N
nembhrj01,22,0.38,0.5,0.9,1.1,0.0,0.1,RJ Nembhard Jr.,G,SG,2022,False,N
nesmiaa01,22,0.507,1.7,0.4,3.8,0.1,0.4,Aaron Nesmith,F,SF,2022,False,N
